dateTime,walletId,Wallet,Transaction ID,operation,assetTicker,Token Amount,USD Value,fromAddress,toAddress
10/21/25,S02lqhcF02X8yft4ltXX,,SOL.2jDeDgzwSctaDLX3z7dtwUvgVJe8Z82WuLGMH6jutbiGAVYBuHzJgvznZXs1tq4ad5DDP3kSmVafAMDdProZJcif,FEE,SOL,1.0024e-05,0.002,henn93oaddd1vmymhh56xgvygoztrgdex93w5x9bdux9,
,,,,,,,,,
10/23/25,FqnX6SiVMuheSxmH7Rso,,SOL.4wXinDYPvuPNijKAtbkrFd4XfNGqP8YET5H1mhyXimQ9EY325tystT8PrUMpogdXbdSgUSuNEST5CbD8peXMQTY7,DEPOSIT,SOL,0.00203928,0.389,5bgt9gjizjWvrRTBTbs9SrtxTtNgwsnHsGrJuTgCqYzS,79e4yXRGYyYo7KpXgTEhjZLr5ubr61n2edcZyXXHywqy
10/23/25,FqnX6SiVMuheSxmH7Rso,,SOL.4wXinDYPvuPNijKAtbkrFd4XfNGqP8YET5H1mhyXimQ9EY325tystT8PrUMpogdXbdSgUSuNEST5CbD8peXMQTY7,DEPOSIT,SOL-USDT,19.161469,19.161,5bgt9gjizjWvrRTBTbs9SrtxTtNgwsnHsGrJuTgCqYzS,79e4yXRGYyYo7KpXgTEhjZLr5ubr61n2edcZyXXHywqy
,,,,,,,,,
10/27/25,kVGG0HQoBXBkQ9czC6vg,,SOL.4SoadDX8JZtjszRjQmXMhXQMwR6FzA45fqpf6G1FmBVKz6udR3eE3h85uCYobDs1yhytpqMzzzGf6oMRwCe9yZ7B,WITHDRAW,SOL,-0.00203928,-0.408,HSPzmWUvABpobUzCrtL7ykbxahyuuNGgK4JAW9yarbFL,5YcmKj6uLBVtvnoe5xcmehHWiGssSuwRbMzXjiyh9F4T
10/27/25,kVGG0HQoBXBkQ9czC6vg,,SOL.4SoadDX8JZtjszRjQmXMhXQMwR6FzA45fqpf6G1FmBVKz6udR3eE3h85uCYobDs1yhytpqMzzzGf6oMRwCe9yZ7B,WITHDRAW,SOL-ME,-15000.0,-7650.0,BCoJqvZPZ1MK3hSr5PG44JWuQU3v8cagbNAMQtVoXXqX,5YcmKj6uLBVtvnoe5xcmehHWiGssSuwRbMzXjiyh9F4T
,,,,,,,,,
10/27/25,kVGG0HQoBXBkQ9czC6vg,,SOL.65UFV4HZTQpHez1XmAjK2hRG8VWaFQXD47bhCoLxgwacgXkuyN3ShGfen7GArQSXweYu5SNQ8ueNVY5hnQ9SqpAE,WITHDRAW,SOL-ME,-149999.0,-81839.454,BCoJqvZPZ1MK3hSr5PG44JWuQU3v8cagbNAMQtVoXXqX,1ZStM3aB6BmjeQC1dHLmLiNRToqihm2Mstiw62t2vaC
,,,,,,,,,
10/29/25,lr7Ooreq8JahY9lY9Kp1,,BASE.0xe732733653205c0cf3867679be92d0a63426186ec9f9f43c2129c3cf846212b6,DEPOSIT,BASE_ETH,0.72951937,2921.39,0x87f914b25884aaccd265be5ee4be68ab363724b8,0x14b30e3d8894a6d65292597f646a8f24dbbf2850
,,,,,,,,,
10/29/25,nv6cqu6esAEqzXQSzTI6,,SOL.61n4zfdqiz6ZzkzaKJDN1wsoA6ukqZrKhCCYkerELSCe1qWvDAbUdowZg6uXeRqGt82S5BnfhixKGpzPgPVBx1FZ,DEPOSIT,SOL,3.0,581.91,CsnGuKhZoeJGtR7cZRCFxgRnCKGhaaa4GXuwA9KWYhUi,3WPK3U9CLL6qXdSQ68hD5weE3MDxpj4h51CZ8orznbEB
